event_id,well_id,event_date,failure_type,severity_level,root_cause,event_status
1,5,2024-10-02 11:03:08,Leakage,High,Wear and tear,Closed
2,4,2025-06-29 11:03:08,Corrosion,Medium,Wear and tear,Open
3,8,2024-10-06 11:03:08,Corrosion,High,Wear and tear,Open
4,3,2025-04-16 11:03:08,Leakage,Medium,Wear and tear,Open
5,9,2025-09-16 11:03:08,Leakage,High,Wear and tear,Open
6,3,2024-11-02 11:03:08,Corrosion,Medium,Wear and tear,Open
7,10,2025-06-20 11:03:08,Corrosion,High,Wear and tear,Closed
8,10,2025-11-22 11:03:08,Leakage,Low,Wear and tear,Closed
9,5,2025-12-03 11:03:08,Leakage,Medium,Wear and tear,Open
10,2,2025-11-05 11:03:08,Corrosion,Low,Wear and tear,Closed
11,8,2024-07-27 11:03:08,Leakage,Low,Wear and tear,Open
12,2,2024-04-08 11:03:08,Leakage,High,Wear and tear,Closed
13,4,2024-06-10 11:03:08,Corrosion,High,Wear and tear,Open
14,5,2024-12-13 11:03:08,Corrosion,Low,Wear and tear,Open
15,2,2025-06-20 11:03:08,Leakage,Low,Wear and tear,Closed
